1.00E-07,2
2.00E-07,2
3.00E-07,2
4.00E-07,2
5.00E-07,2
6.00E-07,4
7.00E-07,4
8.00E-07,4
9.00E-07,0
1.00E-06,0
1.10E-06,2
1.20E-06,0
1.30E-06,0
1.40E-06,2
1.50E-06,2
1.60E-06,2
1.70E-06,2
1.80E-06,2
1.90E-06,2
2.00E-06,2
2.10E-06,2
2.20E-06,0
2.30E-06,4
2.40E-06,0
2.50E-06,0
2.60E-06,2
2.70E-06,4
2.80E-06,2
2.90E-06,2
3.00E-06,2
3.10E-06,4
3.20E-06,2
3.30E-06,2
3.40E-06,2
3.50E-06,4
3.60E-06,2
3.70E-06,0
3.80E-06,2
3.90E-06,0
4.00E-06,2
4.10E-06,2
4.20E-06,2
4.30E-06,2
4.40E-06,2
4.50E-06,4
4.60E-06,2
4.70E-06,4
4.80E-06,4
4.90E-06,4
5.00E-06,4
5.10E-06,2
5.20E-06,2
5.30E-06,4
5.40E-06,2
5.50E-06,0
5.60E-06,2
5.70E-06,4
5.80E-06,4
5.90E-06,2
6.00E-06,4
6.10E-06,4
6.20E-06,4
6.30E-06,2
6.40E-06,2
6.50E-06,4
6.60E-06,2
6.70E-06,4
6.80E-06,2
6.90E-06,0
7.00E-06,2
7.10E-06,2
7.20E-06,2
7.30E-06,0
7.40E-06,2
7.50E-06,2
7.60E-06,2
7.70E-06,2
7.80E-06,4
7.90E-06,0
8.00E-06,0
8.10E-06,4
8.20E-06,2
8.30E-06,2
8.40E-06,2
8.50E-06,2
8.60E-06,2
8.70E-06,2
8.80E-06,0
8.90E-06,0
9.00E-06,2
9.10E-06,4
9.20E-06,4
9.30E-06,0
9.40E-06,4
9.50E-06,2
9.60E-06,2
9.70E-06,2
9.80E-06,4
9.90E-06,6
1.00E-05,6
1.01E-05,0
1.02E-05,0
1.03E-05,2
1.04E-05,2
1.05E-05,4
1.06E-05,2
1.07E-05,2
1.08E-05,2
1.09E-05,2
1.10E-05,2
1.11E-05,4
1.12E-05,4
1.13E-05,0
1.14E-05,2
1.15E-05,2
1.16E-05,2
1.17E-05,2
1.18E-05,2
1.19E-05,2
1.20E-05,2
1.21E-05,2
1.22E-05,2
1.23E-05,4
1.24E-05,2
1.25E-05,2
1.26E-05,2
1.27E-05,2
1.28E-05,2
1.29E-05,4
1.30E-05,4
1.31E-05,4
1.32E-05,2
1.33E-05,2
1.34E-05,2
1.35E-05,2
1.36E-05,4
1.37E-05,2
1.38E-05,0
1.39E-05,2
1.40E-05,4
1.41E-05,4
1.42E-05,0
1.43E-05,0
1.44E-05,2
1.45E-05,4
1.46E-05,0
1.47E-05,4
1.48E-05,2
1.49E-05,2
1.50E-05,2
1.51E-05,2
1.52E-05,2
1.53E-05,2
1.54E-05,2
1.55E-05,4
1.56E-05,2
1.57E-05,4
1.58E-05,4
1.59E-05,0
1.60E-05,2
1.61E-05,2
1.62E-05,2
1.63E-05,2
1.64E-05,2
1.65E-05,2
1.66E-05,2
1.67E-05,2
1.68E-05,0
1.69E-05,4
1.70E-05,2
1.71E-05,4
1.72E-05,4
1.73E-05,4
1.74E-05,2
1.75E-05,2
1.76E-05,4
1.77E-05,2
1.78E-05,0
1.79E-05,4
1.80E-05,0
1.81E-05,2
1.82E-05,4
1.83E-05,4
1.84E-05,4
1.85E-05,2
1.86E-05,4
1.87E-05,2
1.88E-05,4
1.89E-05,0
1.90E-05,4
1.91E-05,0
1.92E-05,0
1.93E-05,2
1.94E-05,4
1.95E-05,4
1.96E-05,2
1.97E-05,2
1.98E-05,2
1.99E-05,4
2.00E-05,2
2.01E-05,4
2.02E-05,2
2.03E-05,2
2.04E-05,2
2.05E-05,2
2.06E-05,0
2.07E-05,4
2.08E-05,2
2.09E-05,4
2.10E-05,2
2.11E-05,2
2.12E-05,2
2.13E-05,4
2.14E-05,0
2.15E-05,2
2.16E-05,4
2.17E-05,4
2.18E-05,4
2.19E-05,4
2.20E-05,0
2.21E-05,2
2.22E-05,2
2.23E-05,2
